code,region,long_name,short_name,latitude,longitude
S02367,Veneto,Villabartolomea,Villabartolomea,45.153.057,11.348.728
S02331,Veneto,Villafranca Di Verona,Villafranca D.V.,45.349.801,10.849.016
S02145,Veneto,Villaverla Montecchio,Villaverla,45.656.998,11.524.271
S02141,Veneto,Anconetta,Anconetta,45.565.249,11.567.865
S02513,Veneto,Ve Asseggiano,Ve Asseggiano,45.499.357,12.178.101
S05708,Veneto,Polesella,Polesella,44.961.039,11.738.498
S02585,Veneto,Ponte Di Brenta,Ponte Di Brenta,45.429.216,11.947.734
S03200,Veneto,Portogruaro Caorle,Portogruaro C.,45.781.438,12.832.375
S02736,Veneto,Stazione Per L`Alpago,Stazione Alpago,46.137.574,12.316.066
S02579,Veneto,Grisignano Di Zocco,Grisignano Z.,4.548.638,11.710.762
S02539,Veneto,Istrana,Istrana,45.676.539,12.102.781
S02566,Veneto,Alano Fener Valdobbiadene,Alano Fener Val.,4.590.229,11.944.546
S02666,Veneto,S. Dona` Di Piave,S.Dona' Di Piave,4.563.983,12.559.791
S05704,Veneto,S.Elena - Este,S.Elena - Este,45.199.209,11.712.883
S02526,Veneto,S.Giorgio Delle Pertiche,S.Giorgio D.Pert,45.542.538,11.917.455
S02562,Veneto,S.Giustina Cesio,S.Giustina Cesio,46.077.655,1.204.294
S02435,Veneto,S.Martino Buon Albergo,S.Martino B.A.,45.421.559,11.089.155
S02536,Veneto,S.Martino Di Lupari,S.Martino Di Lup,45.655.928,11.857.227
S02503,Veneto,S.Nazario,S.Nazario,45.838.117,11.691.321
S02557,Veneto,Fae`Fortogna,Fae'Fortogna,46.239.439,12.294.121
S02143,Veneto,Thiene,Thiene,45.700.697,11.475.407
S02760,Veneto,Olmi Spercenigo,Olmi S.,45.679.467,12.338.101
S02761,Veneto,S.Biagio Di Callalta,S.Biagio C.,45.686.134,12.374.316
S02762,Veneto,Fagare,Fagare,4.570.705,12.444.296
S02763,Veneto,Ponte Di Piave,Ponte Piave,45.719.624,12.460.683
S02765,Veneto,Oderzo,Oderzo,45.775.304,1.249.293
S02766,Veneto,Gorgo Al Monticano,Gorgo Montic.,45.784.444,12.553.737
S02767,Veneto,Motta Di Livenza,Motta Liv.,45.779.114,12.607.118
S02768,Veneto,Pramaggiore,Pramaggiore,45.774.579,12.718.413
S02769,Veneto,Annone Veneto,Annone Veneto,45.774.904,12.680.334
S02440,Veneto,San Bonifacio,San Bonifacio,4.540.276,1.127.406
S02053,Veneto,Posto Comunicazione Dolce`,P.C. Dolce',45.601.513,10.850.588
S02733,Veneto,Vittorio Veneto,Vittorio Veneto,45.989.946,1.229.327
S02532,Veneto,Carmignano Di Brenta,Carmignano Di Br,45.621.354,11.714.891
S02437,Veneto,Caldiero,Caldiero,4.541.407,11.169.753
S02527,Veneto,Campodarsego,Campodarsego,45.505.721,11.900.894
S05417,Veneto,Ceregnano,Ceregnano,4.505.062,11.870.958
S02514,Veneto,Trebaseleghe,Trebaseleghe,45.581.509,12.040.046
S02592,Veneto,Venezia Porto Marghera,V.Porto Marghera,45.472.381,12.256.536
S02516,Veneto,Spinea,Spinea,45.491.568,12.177.168
S02713,Veneto,S.Trovaso,S.Trovaso,45.627.623,12.233.886
S02594,Veneto,Venezia Marittima,Ve Marittima,4.543.995,12.320.091
S02591,Veneto,Gr Sc Mestre St,Gr Sc St,45.466.808,12.242.832
S02319,Veneto,Primolano,Primolano,45.965.315,11.700.899
S02670,Veneto,Quarto D`Altino,Quarto D'Altino,45.574.576,12.365.032
S02501,Veneto,S.Marino,S.Marino,45.897.699,11.692.241
S02706,Veneto,Conegliano,Conegliano,45.884.706,12.298.909
S02558,Veneto,Ponte Nelle Alpi Polpet,Ponte Nelle Alpi,46.182.328,12.277.604
S02565,Veneto,Quero Vas,Quero Vas,45.939.306,11.920.189
S02508,Veneto,Resana,Resana,45.634.081,11.964.251
S02373,Veneto,Lendinara,Lendinara,45.081.816,11.591.667
S02433,Veneto,Verona Porta Vescovo,Verona P.Vescovo,45.435.552,11.018.841
S02715,Veneto,Preganziol,Preganziol,4.560.367,1.223.138
S05303,Veneto,Roncanova Di Gazzo Ver.,Roncanova,45.142.207,11.097.995
S02521,Veneto,Rosa`,Rosa',4.572.054,11.775.799
S05424,Veneto,Rosolina,Rosolina,45.075.548,12.239.663
S02522,Veneto,Rossano Veneto,Rossano Veneto,45.702.039,11.784.812
S05706,Veneto,Rovigo,Rovigo,45.076.993,11.780.892
S02735,Veneto,S.Croce Del Lago,S.Croce Del Lago,46.094.795,12.324.068
S02088,Veneto,Peschiera Del Garda,Peschiera Garda,45.438.502,10.702.509
S02705,Veneto,Pianzano,Pianzano,45.913.397,12.388.168
S02509,Veneto,Piombino Dese,Piombino Dese,4.560.944,1.200.058
S02559,Veneto,Belluno,Belluno,46.141.594,12.209.703
S02391,Veneto,Bevilacqua,Bevilacqua,45.230.145,11.398.643
S02588,Veneto,Mira Mirano,Mira Mirano,45.462.943,12.118.789
S02717,Veneto,Mogliano Veneto,Mogliano Veneto,45.561.964,1.223.274
S05703,Veneto,Monselice,Monselice,45.246.116,1.174.789
S02392,Veneto,Montagnana,Montagnana,45.228.238,11.459.873
S02443,Veneto,Montebello,Montebello,4.545.251,11.390.803
S02570,Veneto,Montebelluna,Montebelluna,45.776.434,12.054
S02667,Veneto,Fossalta Di Piave,Fossalta Piave,45.624.215,12.500.393
S03201,Veneto,Fossalta Di Portogruaro,Fossalta Di P.,4.578.324,12.907.473
S02374,Veneto,Fratta,Fratta,45.038.673,11.642.598
S02524,Veneto,Fratte Centro,Fratte Centro,45.585.849,11.906.637
S02671,Veneto,Gaggio,Gaggio,45.551.893,12.326.027
S02541,Veneto,Galliera Veneta Tombolo,Galliera Ven.Tom,45.652.901,11.828.066
S02510,Veneto,Noale Scorze`,Noale Scorze',45.553.833,12.074.888
S05310,Veneto,Nogara,Nogara,45.179.937,11.070.572
S02734,Veneto,Nove,Nove,46.050.895,12.313.312
S02704,Veneto,Orsago,Orsago,45.928.068,12.434.259
S02395,Veneto,Ospedaletto Euganeo,Ospedaletto Eug.,45.221.706,11.606.553
S02554,Veneto,Ospitale Di Cadore,Ospitale Di Cad.,46.325.771,12.318.429
S02581,Veneto,Padova,Padova,45.417.846,11.880.794
S02540,Veneto,Paese,Paese,45.669.207,12.161.677
S02602,Veneto,Paese Castagnole,Paese Castagnole,45.691.182,12.182.619
S02600,Veneto,Trevignano Signoressa,Trevignano Sign.,4.574.789,12.103.123
S02712,Veneto,Treviso C.,Treviso C.,45.659.608,1.224.614
S02568,Veneto,Levada,Levada,45.850.158,12.006.657
S02530,Veneto,Lisiera,Lisiera,45.578.581,11.610.695
S02663,Veneto,Lison,Lison,45.751.947,12.759.416
S02556,Veneto,Longarone Zoldo,Longarone Zoldo,46.267.466,12.301.953
S02441,Veneto,Lonigo,Lonigo,45.413.269,11.345.016
S05423,Veneto,Loreo,Loreo,45.059.476,12.191.569
S02512,Veneto,Maerne Di Martellago,Maerne Di Mart.,45.514.799,12.150.629
S02142,Veneto,Marano,Marano,45.706.864,114.246
S02668,Veneto,Meolo,Meolo,4.561.319,12.453.969
S02580,Veneto,Mestrino,Mestrino,45.457.878,11.773.859
S02587,Veneto,Dolo,Dolo,45.453.466,1.207.161
S02055,Veneto,Domegliara,Domegliara,45.522.348,10.820.408
S02330,Veneto,Dossobuono,Dossobuono,45.392.382,10.914.831
S02146,Veneto,Dueville,Dueville,45.635,11.546.108
S02396,Veneto,Este,Este,45.220.954,11.662.931
S02575,Veneto,Fanzolo,Fanzolo,45.708.253,11.992.069
S05710,Veneto,Occhiobello,Occhiobello,44.899.384,11.621.197
S02672,Veneto,Venezia Carpenedo,Venezia Carpen.,45.506.697,12.247.609
S02589,Veneto,Venezia Mestre,Venezia Mestre,45.482.123,12.232.069
S02593,Veneto,Venezia Santa Lucia,Venezia S.Lucia,45.441.569,12.320.882
S02061,Veneto,Verona Ca` Di David,Vr Cà Di David,45.384.406,10.994.897
S02430,Veneto,Verona Porta Nuova,Verona P.Nuova,45.428.603,10.982.377
S02446,Veneto,Vicenza,Vicenza,45.541.102,11.540.762
S02528,Veneto,Vigodarzere,Vigodarzere,45.453.289,11.891.641
S02586,Veneto,Vigonza Pianiga,Vigonza Pianiga,45.442.799,12.017.977
S02523,Veneto,Villa Del Conte,Villa Del Conte,45.607.701,11.852.518
S05700,Veneto,Abano Terme,Abano Terme,45.355.199,11.811.533
S05420,Veneto,Adria,Adria,4.506.058,12.054.228
S02538,Veneto,Albaredo,Albaredo,45.670.265,12.015.104
S02444,Veneto,Altavilla Tavernelle,Altavilla Tav.,45.511.805,11.454.702
S05707,Veneto,Arqua`,Arqua',45.006.465,11.748.518
S02370,Veneto,Badia Polesine,Badia Polesine,45.094.439,11.484.722
S02383,Veneto,Bonferraro,Bonferraro,45.185.651,11.009.247
S02390,Veneto,Boschi S.Anna,Boschi S.Anna,45.217.328,11.362.302
S02363,Veneto,Bovolone,Bovolone,45.254.446,11.123.862
S05709,Veneto,P.C.Canaro,P.C. Canaro,44.923.012,11.675.223
S02502,Veneto,Carpane`Valstagna,Carpane'Valstag.,45.860.128,11.661.183
S02506,Veneto,Cassola,Cassola,45.732.291,11.795.866
S02507,Veneto,Castello Di Godego,Castello Godego,45.688.082,1.187.759
S02368,Veneto,Castagnaro,Castagnaro,45.119.349,11.403.936
S02537,Veneto,Castelfranco Veneto,Castelfranco V.,45.666.439,11.934.315
S02093,Veneto,Castelnuovo,Castelnuovo D.G.,45.430.843,10.758.273
