Comune,Provincia,Regione,Nome,Longitudine,Latitudine
MONCALIERI,CITTA' METROPOLITANA DI TORINO,Piemonte,Università delle Tre Età,113755.21.00,449.995.813.999.999
TORINO,CITTA' METROPOLITANA DI TORINO,Piemonte,Accademia Albertina,114961.57.00,11308.27.00
TORINO,CITTA' METROPOLITANA DI TORINO,Piemonte,Accademia di medicina,114927.23.00,450.684.189.999.999
TORINO,CITTA' METROPOLITANA DI TORINO,Piemonte,Dipartimento di Scienze della Vita e Biologia de,114721.17.00,450.652.864.999.999
TORINO,CITTA' METROPOLITANA DI TORINO,Piemonte,Dipartimento di Scienze della Vita e Biologia de,114508.47.00,9227.23.00
TORINO,CITTA' METROPOLITANA DI TORINO,Piemonte,"DISMA - Dipartimento di Scienze Matematiche """"Gi",110309.39.00,10487.08.00
TORINO,CITTA' METROPOLITANA DI TORINO,Piemonte,Facoltà di Architettura,114467.28.00,450.540.489.999.999
TORINO,CITTA' METROPOLITANA DI TORINO,Piemonte,GeoClimAlp,106915.22.00,2933.38.00
TORINO,CITTA' METROPOLITANA DI TORINO,Piemonte,Ingegneria dell'Autoveicolo,111263.49.00,5757.32.00
TORINO,CITTA' METROPOLITANA DI TORINO,Piemonte,Segreteria Studenti MFN,114821.19.00,450.656.772.999.999
TORINO,CITTA' METROPOLITANA DI TORINO,Piemonte,Università degli Studi di Torino - Dipartimento,113641.31.00,8720.07.00
TORINO,CITTA' METROPOLITANA DI TORINO,Piemonte,Università di Torino - Dipartimento di Studi P,115006.37.00,10895.23.00
TORINO,CITTA' METROPOLITANA DI TORINO,Piemonte,Università di Torino - Mineralogia Petrografia,114797.48.00,10648.56.00
TORINO,CITTA' METROPOLITANA DI TORINO,Piemonte,Università di Torino - Rettorato,114859.42.00,11602.21.00
VINOVO,CITTA' METROPOLITANA DI TORINO,Piemonte,St. John International University,105362.35.00,449.498.433.999.999
ASTI,ASTI,Piemonte,Polo universitario di Asti,3515.44.00,150546.45.00
ALESSANDRIA,ALESSANDRIA,Piemonte,Scienze Infermieristiche,104303.25.00,449.169.867.999.999
VERRES,AOSTA,Valle d'Aosta,Politecnico Di Torino - Sede Decentrata Di Verre,114987.16.00,110877.56.00
GENOVA,CITTA' METROPOLITANA DI GENOVA,Liguria,Facoltà di Lingua e Letterature straniere,154626.43.00,68927.05.00
GENOVA,CITTA' METROPOLITANA DI GENOVA,Liguria,"Laboratorio di Geodesia, Geomatica e GIS",160525.08.00,66755.42.00
GENOVA,CITTA' METROPOLITANA DI GENOVA,Liguria,Università degli Studi di Genova,154453.07.00,444.148.860.999.999
VARESE,VARESE,Lombardia,Collegio Universitario Carlo Catteneo,141789.29.00,132774.09.00
VARESE,VARESE,Lombardia,DICOM - Università degli Studi dell'Insubria,138118.45.00,136086.57.00
VENEGONO INFERIORE,VARESE,Lombardia,Seminario Arcivescovile di Milano,151353.19.00,457.342.806.999.999
COMO,COMO,Lombardia,LNESS Laboratory for Epitaxial Nanostructures an,909.278.089.999.999,133580.59.00
MILANO,CITTA' METROPOLITANA DI MILANO,Lombardia,Accademia di belle arti di Brera,31312.17.00,78701.58.00
MILANO,CITTA' METROPOLITANA DI MILANO,Lombardia,Facoltà di Agraria,3801.21.00,454.765.761.999.999
MILANO,CITTA' METROPOLITANA DI MILANO,Lombardia,Facoltà di Medicina Veterinaria,38189.58.00,79477.18.00
MILANO,CITTA' METROPOLITANA DI MILANO,Lombardia,U9,35219.08.00,455.109.532.999.999
